Aprobar,AprobarImp,CodModo,CodMon,CodMot,CodPag,CodSerie,CodSunat,DesCli,DesDoc,DesMon,DesMot,Documento,DsctoSug,Estado,EstadoSunat,FactorSug,Factura,FecDoc,IdCliente,IdGuia,IdLocacion,IdSerieDoc,IdSugerido,NumCot,NumDoc,NumFac,NumJob,NumOrden,ObservacionSunat,TieneNotas,TipMov,TotNeto,TotNetoSug
True,True,02,US,1,00,T001,09,S & A MAQUINARIAS Y SERVICIOS GENERALES S.R.L.,Guia de Remisión,DOLARES USA         ,Venta,T001-2280,,FC,ACEPTADO,,True,2025-07-30T00:00:00,57534,156008,72,296,0,1779,2280,F/ F001-1542,,COT-1779-2025 FILT.,"El Comprobante numero T001-2280, ha sido aceptado",True,D,551.39,0.0
True,True,02,US,1,04,T001,09,PLUTON TRANSPORTES SAC,Guia de Remisión,DOLARES USA         ,Venta,T001-2281,,FC,ACEPTADO,,True,2025-07-31T00:00:00,57906,156013,72,296,0,1769,2281,F/ F001-1545,,COT.1769-2025BAT,"El Comprobante numero T001-2281, ha sido aceptado",False,D,443.56,0.0
True,True,02,US,1,04,T001,09,PESQUERA NIROCI SOCIEDAD ANONIMA CERRADA,Guia de Remisión,DOLARES USA         ,Venta,T001-2282,,FC,ACEPTADO,,True,2025-08-01T00:00:00,56918,156015,72,296,0,1783,2282,F/ F001-1543,,COT.1783-2025,"El Comprobante numero T001-2282, ha sido aceptado",True,D,276.59,0.0
False,False,02,US,9,,T001,09,PESQUERA NIROCI SOCIEDAD ANONIMA CERRADA,Guia de Remisión,DOLARES USA         ,Otros,T001-2283,,AN,ACEPTADO,,False,2025-08-01T00:00:00,56918,156016,72,296,0,,2283,,0020/24,,"El Comprobante numero T001-2283, ha sido aceptado",True,O,0.0,0.0
False,False,02,US,9,,T001,09,EQUIPOS Y MAQUINARIA PESADA DIESEL SAC (OFICINA CHIMBOTE),Guia de Remisión,DOLARES USA         ,Otros,T001-2284,,IM,ACEPTADO,,False,2025-08-01T00:00:00,57372,156017,72,296,0,,2284,,2053/25,,"El Comprobante numero T001-2284, ha sido aceptado",True,O,0.0,0.0
True,True,02,US,1,04,T001,09,PESQUERA HAYDUK S.A.,Guia de Remisión,DOLARES USA         ,Venta,T001-2285,,FC,ACEPTADO,,True,2025-08-04T00:00:00,56971,156020,72,296,0,1789,2285,F/ F001-1546,,4500403596,"El Comprobante numero T001-2285, ha sido aceptado",True,D,2153.31,0.0
True,True,02,US,1,00,T001,09,EQUIMAP AMAZONICA S.A.C.,Guia de Remisión,DOLARES USA         ,Venta,T001-2286,,FC,ACEPTADO,,True,2025-08-04T00:00:00,56751,156023,72,296,0,1790,2286,F/ F001-1551,,AMZ-18-25,"El Comprobante numero T001-2286, ha sido aceptado",True,D,920.4,0.0
True,True,02,US,1,03,T001,09,WHIND S.A.C.,Guia de Remisión,DOLARES USA         ,Venta,T001-2287,,FC,ACEPTADO,,True,2025-08-04T00:00:00,57295,156024,72,296,0,1791,2287,F/ F001-1550,,WHIND 1791,"El Comprobante numero T001-2287, ha sido aceptado",True,D,100.17,0.0
True,True,02,US,1,,T001,09,IMPORTACIONES & TECNOLOGIAS S.R.L.,Guia de Remisión,DOLARES USA         ,Venta,T001-2289,,FC,ACEPTADO,,True,2025-08-05T00:00:00,57909,156026,72,296,0,,2289,F/ F001-1549,,,"El Comprobante numero T001-2289, ha sido aceptado",True,D,2124.0,0.0
False,False,02,US,9,,T001,09,EQUIPOS Y MAQUINARIA PESADA DIESEL SAC,Guia de Remisión,DOLARES USA         ,Otros,T001-2290,,IM,ACEPTADO,,False,2025-08-05T00:00:00,56856,156027,72,296,0,,2290,,,,"El Comprobante numero T001-2290, ha sido aceptado",True,O,0.0,0.0
True,True,02,US,1,,T001,09,EMPRESA PESQUERA PERCAR S.A.C.,Guia de Remisión,DOLARES USA         ,Venta,T001-2291,,FC,ACEPTADO,,True,2025-08-08T00:00:00,57190,156030,72,296,0,,2291,F/ F001-1552,2049/25,,"El Comprobante numero T001-2291, ha sido aceptado",True,D,2578.32,0.0
True,True,02,US,1,,T001,09,EMPRESA PESQUERA PERCAR S.A.C.,Guia de Remisión,DOLARES USA         ,Venta,T001-2292,,FC,ACEPTADO,,True,2025-08-08T00:00:00,57190,156031,72,296,0,,2292,F/ F001-1552,2049/25,,"El Comprobante numero T001-2292, ha sido aceptado",True,D,1242.1,0.0
True,True,02,US,1,,T001,09,EMPRESA PESQUERA PERCAR S.A.C.,Guia de Remisión,DOLARES USA         ,Venta,T001-2293,,FC,ACEPTADO,,True,2025-08-08T00:00:00,57190,156032,72,296,0,,2293,F/ F001-1552,2049/25,,"El Comprobante numero T001-2293, ha sido aceptado",True,D,8714.87,0.0
True,True,02,US,1,00,T001,09,EQUIMAP AMAZONICA S.A.C.,Guia de Remisión,DOLARES USA         ,Venta,T001-2294,,FC,ACEPTADO,,True,2025-08-11T00:00:00,56751,156034,72,296,0,1801,2294,F/ F001-1553,,AMZ-20-25,"El Comprobante numero T001-2294, ha sido aceptado",True,D,1317.47,0.0
False,False,02,US,9,,T001,09,EQUIPOS Y MAQUINARIA PESADA DIESEL SAC,Guia de Remisión,DOLARES USA         ,Otros,T001-2295,,IM,ACEPTADO,,False,2025-08-11T00:00:00,56856,156037,72,296,0,,2295,,,,"El Comprobante numero T001-2295, ha sido aceptado",True,O,0.0,0.0
False,False,02,US,9,,T001,09,EQUIPOS Y MAQUINARIA PESADA DIESEL SAC,Guia de Remisión,DOLARES USA         ,Otros,T001-2296,,IM,ACEPTADO,,False,2025-08-11T00:00:00,56856,156038,72,296,0,,2296,,2056/25,,"El Comprobante numero T001-2296, ha sido aceptado",True,O,0.0,0.0
